#    L    TT             EE             TE             PP             TP          
   294   0.343810E+04   0.923303E+01   0.113056E+03   0.168910E+07   0.113597E+04
   295   0.340979E+04   0.939674E+01   0.113265E+03   0.168232E+07   0.112572E+04
   296   0.338124E+04   0.956183E+01   0.113448E+03   0.167559E+07   0.111555E+04
   297   0.335266E+04   0.972603E+01   0.113603E+03   0.166889E+07   0.110544E+04
   298   0.332392E+04   0.989158E+01   0.113717E+03   0.166224E+07   0.109541E+04
   299   0.329523E+04   0.100577E+02   0.113797E+03   0.165562E+07   0.108545E+04
   300   0.326643E+04   0.102229E+02   0.113844E+03   0.164904E+07   0.107555E+04
   301   0.323761E+04   0.103887E+02   0.113865E+03   0.164250E+07   0.106573E+04
   302   0.320884E+04   0.105543E+02   0.113859E+03   0.163600E+07   0.105597E+04
   303   0.318003E+04   0.107204E+02   0.113813E+03   0.162954E+07   0.104628E+04
   304   0.315119E+04   0.108872E+02   0.113727E+03   0.162311E+07   0.103666E+04
   305   0.312239E+04   0.110530E+02   0.113615E+03   0.161672E+07   0.102711E+04
   306   0.309356E+04   0.112187E+02   0.113470E+03   0.161037E+07   0.101762E+04
   307   0.306476E+04   0.113843E+02   0.113284E+03   0.160405E+07   0.100821E+04
   308   0.303600E+04   0.115512E+02   0.113081E+03   0.159777E+07   0.998863E+03
   309   0.300735E+04   0.117166E+02   0.112830E+03   0.159152E+07   0.989586E+03
   310   0.297865E+04   0.118811E+02   0.112554E+03   0.158531E+07   0.980378E+03
   311   0.295006E+04   0.120470E+02   0.112238E+03   0.157914E+07   0.971239E+03
   312   0.292156E+04   0.122113E+02   0.111897E+03   0.157300E+07   0.962169E+03
   313   0.289310E+04   0.123756E+02   0.111517E+03   0.156690E+07   0.953168E+03
   314   0.286473E+04   0.125398E+02   0.111111E+03   0.156083E+07   0.944237E+03
   315   0.283646E+04   0.127025E+02   0.110666E+03   0.155479E+07   0.935374E+03
   316   0.280828E+04   0.128652E+02   0.110189E+03   0.154879E+07   0.926581E+03
   317   0.278020E+04   0.130263E+02   0.109679E+03   0.154283E+07   0.917857E+03
   318   0.275220E+04   0.131881E+02   0.109138E+03   0.153689E+07   0.909202E+03
   319   0.272437E+04   0.133485E+02   0.108565E+03   0.153099E+07   0.900617E+03
   320   0.269671E+04   0.135081E+02   0.107968E+03   0.152513E+07   0.892102E+03
