#    L    TT             EE             TE          
   471   0.216857E+04   0.126187E+02  -0.745550E+02
   472   0.217944E+04   0.124458E+02  -0.744446E+02
   473   0.219025E+04   0.122737E+02  -0.742972E+02
   474   0.220105E+04   0.121032E+02  -0.741203E+02
   475   0.221185E+04   0.119326E+02  -0.739065E+02
   476   0.222251E+04   0.117644E+02  -0.736579E+02
   477   0.223309E+04   0.115969E+02  -0.733842E+02
   478   0.224367E+04   0.114302E+02  -0.730669E+02
   479   0.225418E+04   0.112657E+02  -0.727305E+02
   480   0.226462E+04   0.111028E+02  -0.723557E+02
   481   0.227498E+04   0.109413E+02  -0.719461E+02
   482   0.228535E+04   0.107822E+02  -0.715078E+02
   483   0.229549E+04   0.106245E+02  -0.710430E+02
   484   0.230548E+04   0.104691E+02  -0.705457E+02
   485   0.231555E+04   0.103152E+02  -0.700173E+02
   486   0.232547E+04   0.101644E+02  -0.694603E+02
   487   0.233524E+04   0.100157E+02  -0.688744E+02
   488   0.234486E+04   0.986860E+01  -0.682591E+02
   489   0.235441E+04   0.972447E+01  -0.676157E+02
   490   0.236388E+04   0.958333E+01  -0.669436E+02
   491   0.237306E+04   0.944443E+01  -0.662456E+02
   492   0.238224E+04   0.930852E+01  -0.655211E+02
   493   0.239127E+04   0.917411E+01  -0.647686E+02
   494   0.240015E+04   0.904418E+01  -0.639918E+02
   495   0.240881E+04   0.891648E+01  -0.631891E+02
   496   0.241732E+04   0.879251E+01  -0.623621E+02
   497   0.242568E+04   0.867152E+01  -0.615100E+02
   498   0.243389E+04   0.855276E+01  -0.606358E+02
   499   0.244203E+04   0.843847E+01  -0.597365E+02
   500   0.244994E+04   0.832641E+01  -0.588165E+02
   501   0.245756E+04   0.821881E+01  -0.578744E+02
   502   0.246518E+04   0.811492E+01  -0.569102E+02
   503   0.247250E+04   0.801400E+01  -0.559260E+02
   504   0.247960E+04   0.791680E+01  -0.549205E+02
   505   0.248669E+04   0.782404E+01  -0.538973E+02
   506   0.249342E+04   0.773514E+01  -0.528543E+02
   507   0.250007E+04   0.764979E+01  -0.517936E+02
